,fold,param,acc
0,1,86227250,0.95
1,1,79139378,0.95
2,1,72051506,0.9375
3,1,64963634,0.935
4,1,57875762,0.9025
5,1,50787890,0.9025
6,1,43700018,0.895
7,1,36612146,0.8975
8,1,29524274,0.8475
9,1,22436402,0.7725
10,2,86227250,0.9375
11,2,79139378,0.9375
12,2,72051506,0.9375
13,2,64963634,0.93
14,2,57875762,0.91
15,2,50787890,0.8875
16,2,43700018,0.8825
17,2,36612146,0.795
18,2,29524274,0.8075
19,2,22436402,0.765
20,3,86227250,0.93
21,3,79139378,0.9375
22,3,72051506,0.9375
23,3,64963634,0.9325
24,3,57875762,0.905
25,3,50787890,0.9
26,3,43700018,0.8825
27,3,36612146,0.895
28,3,29524274,0.87
29,3,22436402,0.84
30,4,86227250,0.9425
31,4,79139378,0.9425
32,4,72051506,0.9425
33,4,64963634,0.9175
34,4,57875762,0.91
35,4,50787890,0.8825
36,4,43700018,0.8825
37,4,36612146,0.8875
38,4,29524274,0.8675
39,4,22436402,0.79
40,5,86227250,0.915
41,5,79139378,0.9275
42,5,72051506,0.91
43,5,64963634,0.9125
44,5,57875762,0.8975
45,5,50787890,0.885
46,5,43700018,0.88
47,5,36612146,0.8775
48,5,29524274,0.845
49,5,22436402,0.82
50,5,15348530,0.7475
